Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9810362,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
9910185,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10010223,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10110360,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10210184,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10310157,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10410669,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10410671,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
10510151,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10610278,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10710133,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10810089,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
10910089,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11010136,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11110141,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11210091,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11310071,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11410799,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11410800,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
11510022,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11610011,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11709984,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11810011,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
11909959,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12009998,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12110056,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12209950,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12309992,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12410719,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12410719,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
12509950,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12610094,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12709887,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12809891,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
12909863,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13009845,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13109861,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13209887,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13309780,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13410749,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13410750,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
13509851,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13609807,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13709933,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13809823,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
13909888,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14009721,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14109890,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14209769,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14309727,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14409865,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14410733,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
14509819,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14609796,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14709698,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14809795,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
14909754,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15009688,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15109839,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15209595,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15309672,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15409732,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15410668,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
15509633,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15609683,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15709675,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15809703,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
15909641,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16009576,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16109577,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16209455,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16309663,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16409487,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16410455,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
16509452,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16609554,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16709443,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16809637,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
16909421,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17009432,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17109567,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17209413,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17309380,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17409486,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17410491,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
17509335,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17609314,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17709290,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17809332,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
17909294,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18009276,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18109283,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18209307,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18309228,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18409450,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18410306,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
18509193,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18609220,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18709169,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18809243,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
18909228,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
19009139,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
19109162,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
19209321,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
19309098,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
19409117,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
