Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1291032648,00000201,false,Rx,0,8,00,FE,FE,00,00,00,64,00,
1291038082,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1291039044,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291039045,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1291041425,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1291048525,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291051658,00000201,false,Rx,0,8,00,FE,FE,00,00,00,65,00,
1291052692,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1291058544,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291059555,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1291068550,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291071669,00000201,false,Rx,0,8,00,FE,FE,00,00,00,66,00,
1291078544,000000FA,false,Rx,0,8,17,70,42,10,02,1A,1A,00,
1291079553,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1291082883,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1291083905,0000077A,false,Rx,0,8,4D,23,5D,80,1E,00,00,FF,
1291085013,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1291088468,000000FA,false,Rx,0,8,17,70,42,10,02,1A,1A,00,
1291091695,00000201,false,Rx,0,8,00,FE,FE,00,00,00,67,00,
1291092693,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1291098532,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291099546,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1291108515,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291111637,00000201,false,Rx,0,8,00,FE,FE,00,00,00,68,00,
1291118115,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1291119144,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291119144,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1291124869,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1291126238,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1291128453,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291131634,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1291132616,00000201,false,Rx,0,8,00,FE,FE,00,00,00,69,00,
1291132617,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1291138072,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1291139073,000000FA,false,Rx,0,8,17,68,42,10,02,1A,1A,00,
1291139074,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1291148483,000000FA,false,Rx,0,8,17,68,42,10,02,1A,1A,00,
1291151679,00000201,false,Rx,0,8,00,FE,FE,00,00,00,6A,00,
1291158413,000000FA,false,Rx,0,8,17,68,42,10,02,1A,1A,00,
1291159404,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
